Title,Company,Location,Description
Senior Data Scientist,Storm3,"New York, NY",achieving faster outcomes. We are seeking a driven Data Scientist to take charge of expanding our Privacy Engine and enhancing
Data Scientist,Verizon,"New York, NY","in a complex, multi-functional, Agile team environment with other data scientists and data engineers to develop and productionize"
"Data Scientist Series, MTA Data & Analytics",MTA,"New York, NY","Data Scientist Series, MTA012 479 3 Senior Data Scientist $80,564"
Data Scientist,Averity,"New York, NY","Description Job Description How would you like to become a Data Scientist at a global insurance company, one of the top 10 largest in the world? We are a Japanese"
Data Scientist,"TEKREQS, Inc.","New York, NY","Data Scientist & Senior Data2+ years of professional Data Science, Statistical"
Lead Data Scientist,Tiger Analytics,"New York, NY",looking for experienced Data Scientists to join our fastteam of experienced Data Scientists. * Stay
Senior Data Scientist,"TEKREQS, Inc.","New York, NY","Description Senior Data Scientist Location: large data sets, using"
Principal Data Scientist,Zocdoc,"New York, NY",Mission We are looking for a Principal Data Scientist to work on our core Search and Sponsored Results
Data Scientist and Engineer,Greenfield Source,"New York, NY","Job Description Data Scientists and Engineers arehandling of life science data, fluency with UNIX"
Sr Data Scientist,David Yurman,"New York, NY",Position Overview The Senior Data Scientist performs complex data analysis to support Marketing
Scientist Data Analytics,TEEMA,"New York, NY",Description Job Description Title: Scientist Data Analytics Job ID: BM765165812 Location
Data Scientist / Database Administrator,SELF ID,"New York, NY",round of funding and is launching this fall. Data Scientist / Database Administrator SELF ID
Junior Data Scientist,Zeigler Automotive Group,"New York, NY","majority of the imported manufacturers. As a Junior Data Scientist, you will be tasked with analyzing and interpreting complex"
"Senior Data Scientist, AI",Oscar Health,"New York, NY","a Senior Data Scientist, AI to join our DataPrepare training data for model tuning and"
"Senior Data Scientist, Supply Chain",Daily Harvest,"New York, NY","Harvest is looking for a Senior Data Scientist, Supply Chain to join our Data"
"Senior Data Scientist, AI",Oscar Health,"New York, NY","a Senior Data Scientist, AI to join our DataPrepare training data for model tuning and"
Sr. Growth Marketing Data Scientist (NY),Philo,"New York, NY","problems. You'll be working closely with other data scientists, analysts, marketing managers, and engineers"
Data Scientist,Chapter,"New York, NY",Role We're looking for a Data Scientist to join the Data team at Chapter. You
Senior Data Scientist,Wonder,"New York, NY","written and verbal) to collaborate with business leaders, other data scientists, and product managers to incorporate data models and"
"Data Scientist, Product Experimentation",Captions,"New York, NY",", or a related discipline. * 3-5 years of proven experience as a data scientist or similar role, with a focus on analytics, AB testing"
"Staff Data Scientist, Marketplace",CookUnity,"New York, NY","with engineering. * Provide mentorship and guidance to data scientists, promoting best practices and professional development"
Sr. Product Data Scientist (NY),Philo,"New York, NY","streaming service. You'll be working closely with other data scientists, analysts, and engineers to build and deploy solutions"
"Staff Data Scientist, Marketplace",CookUnity,"New York, NY","with engineering. * Provide mentorship and guidance to data scientists, promoting best practices and professional development"
Data Scientist,Averity,"New York, NY","Description Job Description How would you like to become a Data Scientist at a global insurance company, one of the top 10 largest in the world? We are a Japanese"
Data Scientist,"TEKREQS, Inc.","New York, NY","Data Scientist & Senior Data2+ years of professional Data Science, Statistical"
Lead Data Scientist,Tiger Analytics,"New York, NY",looking for experienced Data Scientists to join our fastteam of experienced Data Scientists. * Stay
Senior Data Scientist,"TEKREQS, Inc.","New York, NY","Description Senior Data Scientist Location: large data sets, using"
Principal Data Scientist,Zocdoc,"New York, NY",Mission We are looking for a Principal Data Scientist to work on our core Search and Sponsored Results
Data Scientist and Engineer,Greenfield Source,"New York, NY","Job Description Data Scientists and Engineers arehandling of life science data, fluency with UNIX"
Sr Data Scientist,David Yurman,"New York, NY",Position Overview The Senior Data Scientist performs complex data analysis to support Marketing
Scientist Data Analytics,TEEMA,"New York, NY",Description Job Description Title: Scientist Data Analytics Job ID: BM765165812 Location
Data Scientist / Database Administrator,SELF ID,"New York, NY",round of funding and is launching this fall. Data Scientist / Database Administrator SELF ID
Junior Data Scientist,Zeigler Automotive Group,"New York, NY","majority of the imported manufacturers. As a Junior Data Scientist, you will be tasked with analyzing and interpreting complex"
"Senior Data Scientist, AI",Oscar Health,"New York, NY","a Senior Data Scientist, AI to join our DataPrepare training data for model tuning and"
"Senior Data Scientist, Supply Chain",Daily Harvest,"New York, NY","Harvest is looking for a Senior Data Scientist, Supply Chain to join our Data"
"Senior Data Scientist, AI",Oscar Health,"New York, NY","a Senior Data Scientist, AI to join our DataPrepare training data for model tuning and"
Sr. Growth Marketing Data Scientist (NY),Philo,"New York, NY","problems. You'll be working closely with other data scientists, analysts, marketing managers, and engineers"
Data Scientist,Chapter,"New York, NY",Role We're looking for a Data Scientist to join the Data team at Chapter. You
Senior Data Scientist,Wonder,"New York, NY","written and verbal) to collaborate with business leaders, other data scientists, and product managers to incorporate data models and"
"Data Scientist, Product Experimentation",Captions,"New York, NY",", or a related discipline. * 3-5 years of proven experience as a data scientist or similar role, with a focus on analytics, AB testing"
"Staff Data Scientist, Marketplace",CookUnity,"New York, NY","with engineering. * Provide mentorship and guidance to data scientists, promoting best practices and professional development"
Sr. Product Data Scientist (NY),Philo,"New York, NY","streaming service. You'll be working closely with other data scientists, analysts, and engineers to build and deploy solutions"
"Staff Data Scientist, Marketplace",CookUnity,"New York, NY","with engineering. * Provide mentorship and guidance to data scientists, promoting best practices and professional development"
Data Scientist,Averity,"New York, NY","Description Job Description How would you like to become a Data Scientist at a global insurance company, one of the top 10 largest in the world? We are a Japanese"
Data Scientist,"TEKREQS, Inc.","New York, NY","Data Scientist & Senior Data2+ years of professional Data Science, Statistical"
Lead Data Scientist,Tiger Analytics,"New York, NY",looking for experienced Data Scientists to join our fastteam of experienced Data Scientists. * Stay
Senior Data Scientist,"TEKREQS, Inc.","New York, NY","Description Senior Data Scientist Location: large data sets, using"
Principal Data Scientist,Zocdoc,"New York, NY",Mission We are looking for a Principal Data Scientist to work on our core Search and Sponsored Results
Data Scientist and Engineer,Greenfield Source,"New York, NY","Job Description Data Scientists and Engineers arehandling of life science data, fluency with UNIX"
Sr Data Scientist,David Yurman,"New York, NY",Position Overview The Senior Data Scientist performs complex data analysis to support Marketing
Scientist Data Analytics,TEEMA,"New York, NY",Description Job Description Title: Scientist Data Analytics Job ID: BM765165812 Location
Data Scientist / Database Administrator,SELF ID,"New York, NY",round of funding and is launching this fall. Data Scientist / Database Administrator SELF ID
Junior Data Scientist,Zeigler Automotive Group,"New York, NY","majority of the imported manufacturers. As a Junior Data Scientist, you will be tasked with analyzing and interpreting complex"
"Senior Data Scientist, AI",Oscar Health,"New York, NY","a Senior Data Scientist, AI to join our DataPrepare training data for model tuning and"
"Senior Data Scientist, Supply Chain",Daily Harvest,"New York, NY","Harvest is looking for a Senior Data Scientist, Supply Chain to join our Data"
"Senior Data Scientist, AI",Oscar Health,"New York, NY","a Senior Data Scientist, AI to join our DataPrepare training data for model tuning and"
Sr. Growth Marketing Data Scientist (NY),Philo,"New York, NY","problems. You'll be working closely with other data scientists, analysts, marketing managers, and engineers"
Data Scientist,Chapter,"New York, NY",Role We're looking for a Data Scientist to join the Data team at Chapter. You
Senior Data Scientist,Wonder,"New York, NY","written and verbal) to collaborate with business leaders, other data scientists, and product managers to incorporate data models and"
"Data Scientist, Product Experimentation",Captions,"New York, NY",", or a related discipline. * 3-5 years of proven experience as a data scientist or similar role, with a focus on analytics, AB testing"
"Staff Data Scientist, Marketplace",CookUnity,"New York, NY","with engineering. * Provide mentorship and guidance to data scientists, promoting best practices and professional development"
Sr. Product Data Scientist (NY),Philo,"New York, NY","streaming service. You'll be working closely with other data scientists, analysts, and engineers to build and deploy solutions"
"Staff Data Scientist, Marketplace",CookUnity,"New York, NY","with engineering. * Provide mentorship and guidance to data scientists, promoting best practices and professional development"
Data Scientist,Averity,"New York, NY","Description Job Description How would you like to become a Data Scientist at a global insurance company, one of the top 10 largest in the world? We are a Japanese"
Data Scientist,"TEKREQS, Inc.","New York, NY","Data Scientist & Senior Data2+ years of professional Data Science, Statistical"
Lead Data Scientist,Tiger Analytics,"New York, NY",looking for experienced Data Scientists to join our fastteam of experienced Data Scientists. * Stay
Senior Data Scientist,"TEKREQS, Inc.","New York, NY","Description Senior Data Scientist Location: large data sets, using"
Principal Data Scientist,Zocdoc,"New York, NY",Mission We are looking for a Principal Data Scientist to work on our core Search and Sponsored Results
Data Scientist and Engineer,Greenfield Source,"New York, NY","Job Description Data Scientists and Engineers arehandling of life science data, fluency with UNIX"
Sr Data Scientist,David Yurman,"New York, NY",Position Overview The Senior Data Scientist performs complex data analysis to support Marketing
Scientist Data Analytics,TEEMA,"New York, NY",Description Job Description Title: Scientist Data Analytics Job ID: BM765165812 Location
Data Scientist / Database Administrator,SELF ID,"New York, NY",round of funding and is launching this fall. Data Scientist / Database Administrator SELF ID
Junior Data Scientist,Zeigler Automotive Group,"New York, NY","majority of the imported manufacturers. As a Junior Data Scientist, you will be tasked with analyzing and interpreting complex"
"Senior Data Scientist, AI",Oscar Health,"New York, NY","a Senior Data Scientist, AI to join our DataPrepare training data for model tuning and"
"Senior Data Scientist, Supply Chain",Daily Harvest,"New York, NY","Harvest is looking for a Senior Data Scientist, Supply Chain to join our Data"
"Senior Data Scientist, AI",Oscar Health,"New York, NY","a Senior Data Scientist, AI to join our DataPrepare training data for model tuning and"
Sr. Growth Marketing Data Scientist (NY),Philo,"New York, NY","problems. You'll be working closely with other data scientists, analysts, marketing managers, and engineers"
Data Scientist,Chapter,"New York, NY",Role We're looking for a Data Scientist to join the Data team at Chapter. You
Senior Data Scientist,Wonder,"New York, NY","written and verbal) to collaborate with business leaders, other data scientists, and product managers to incorporate data models and"
"Data Scientist, Product Experimentation",Captions,"New York, NY",", or a related discipline. * 3-5 years of proven experience as a data scientist or similar role, with a focus on analytics, AB testing"
"Staff Data Scientist, Marketplace",CookUnity,"New York, NY","with engineering. * Provide mentorship and guidance to data scientists, promoting best practices and professional development"
Sr. Product Data Scientist (NY),Philo,"New York, NY","streaming service. You'll be working closely with other data scientists, analysts, and engineers to build and deploy solutions"
"Staff Data Scientist, Marketplace",CookUnity,"New York, NY","with engineering. * Provide mentorship and guidance to data scientists, promoting best practices and professional development"
